gene_id,gene_name,control_mean,treatment_mean,fold_change,p_value,significant
ENSG001,TP53,1500.2,2850.6,1.90,0.001,TRUE
ENSG002,BRCA1,850.4,920.1,1.08,0.342,FALSE
ENSG003,EGFR,1200.8,2400.5,2.00,0.0001,TRUE
ENSG004,MYC,950.3,980.7,1.03,0.521,FALSE
ENSG005,KRAS,1100.5,1950.8,1.77,0.005,TRUE
ENSG006,PTEN,780.2,810.5,1.04,0.612,FALSE
ENSG007,AKT1,1350.7,2600.3,1.92,0.002,TRUE
ENSG008,PIK3CA,890.6,920.4,1.03,0.487,FALSE
ENSG009,STAT3,1050.4,2100.9,2.00,0.0005,TRUE
ENSG010,JAK2,720.8,750.2,1.04,0.558,FALSE
ENSG011,BCL2,1250.6,2350.8,1.88,0.003,TRUE
ENSG012,VEGFA,980.3,1850.6,1.89,0.004,TRUE
ENSG013,HIF1A,1150.9,1200.4,1.04,0.623,FALSE
ENSG014,NOTCH1,850.7,1650.3,1.94,0.002,TRUE
ENSG015,WNT1,920.4,980.6,1.07,0.398,FALSE
ENSG016,CTNNB1,1080.5,2050.7,1.90,0.003,TRUE
ENSG017,SMAD4,790.2,820.8,1.04,0.541,FALSE
ENSG018,TP63,1200.6,2280.9,1.90,0.002,TRUE
ENSG019,RB1,880.4,910.7,1.03,0.512,FALSE
ENSG020,CDK4,1050.8,2000.5,1.90,0.003,TRUE
